FIRM,class,Start,End,Length,Night,Gap,WS,idx,Base,StartAdj,LenAdj,Comp,Trans,Press,p1s,p1l,p2s,p2l,MalAdj,NFZ,AFZ,MFZ
-8,0,1080,1765,685,1,999,0,6,2.00,0.00,0.00,0.00,-5.00,-4.50,-1,525,0,485,0,0,0,0
-9,0,1060,1605,545,1,735,0,7,2.00,0.00,0.00,0.00,-5.00,-6.00,-8,685,-1,525,0,0,0,0
-8,0,1075,1490,415,0,910,0,8,5.00,0.00,0.00,0.00,-6.00,-7.00,-9,545,-8,685,0,0,0,0
-10,0,695,1388,693,0,645,0,9,5.00,0.00,0.00,-0.25,-6.00,-8.33,-8,415,-9,545,0,0,0,0
-10,0,1140,1860,720,1,999,0,10,2.00,0.00,0.00,0.00,-8.00,-10.33,-10,693,-8,415,0,0,0,0
-10,0,1070,1725,655,1,650,0,11,2.00,0.00,0.00,-1.25,-8.00,-12.33,-10,720,-10,693,0,0,0,0
0,0,225,640,415,0,999,1,1,5.00,-4.25,0.00,0.00,-1.00,0.00,-10,655,-10,720,0,0,0,0
-2,0,136,810,674,1,936,0,2,2.00,0.00,0.00,0.00,-3.00,-1.00,0,415,-10,655,0,0,0,0
-4,0,255,685,430,0,885,0,3,5.00,-3.75,0.00,0.00,-4.00,-1.67,-2,674,0,415,0,0,0,0
-1,0,705,1210,505,0,999,0,4,5.00,0.00,0.00,0.00,-4.00,-2.33,-4,430,-2,674,0,0,0,0
-2,0,630,1185,555,0,860,0,5,5.00,0.00,0.00,0.00,-4.00,-3.00,-1,505,-4,430,0,0,0,0
-10,1,1310,2116,806,1,999,0,6,2.00,0.00,-1.50,0.00,-6.00,-4.50,-2,555,-1,505,0,0,0,0
-10,0,305,995,690,0,999,0,7,5.00,-3.00,0.00,0.00,-7.00,-5.83,-10,806,-2,555,0,0,0,0
5,0,585,1105,520,0,999,1,1,5.00,0.00,0.00,0.00,-0.50,0.00,0,0,0,0,0,0,0,0
4,0,945,1500,555,0,999,0,2,5.00,0.00,0.00,0.00,-0.50,-0.67,5,520,0,0,0,0,0,0
0,0,1150,1870,720,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,4,555,5,520,0,0,0,0
-1,0,1430,2142,712,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,0,720,4,555,0,0,0,0
4,0,545,1295,750,0,999,1,1,5.00,0.00,-0.25,0.00,-1.00,0.00,-1,712,0,720,0,0,0,0
1,0,415,1062,647,0,560,0,2,5.00,-1.00,0.00,-1.50,-1.00,-0.67,4,750,-1,712,0,0,0,0
-3,0,205,1033,828,0,999,0,3,5.00,-4.50,-0.88,0.00,-1.00,-1.33,1,647,4,750,0,0,0,0
-6,0,870,1820,950,1,999,1,1,2.00,0.00,-7.00,0.00,-1.00,0.00,-3,828,1,647,0,0,0,0
0,0,1340,1755,415,1,960,0,2,2.00,0.00,0.00,0.00,-1.00,-1.00,-6,950,-3,828,0,0,0,0
1,1,1310,2115,805,1,999,1,1,2.00,0.00,-1.50,0.00,0.00,0.00,0,415,-6,950,0,0,0,0
0,0,305,1005,700,0,999,0,2,5.00,-3.00,0.00,0.00,-1.00,-0.67,1,805,0,415,0,0,0,0
4,0,555,1410,855,0,999,1,1,5.00,0.00,-1.25,0.00,0.00,0.00,0,0,0,0,0,0,0,0
5,0,545,1280,735,0,999,1,1,5.00,0.00,-0.12,0.00,0.00,0.00,4,855,0,0,0,0,0,0
5,0,990,1370,380,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,5,735,4,855,0,0,0,0
4,0,740,1246,506,0,810,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,380,5,735,0,0,0,0
5,0,1080,1555,475,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,4,506,5,380,0,0,0,0
4,0,855,1440,585,0,740,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,475,4,506,0,0,0,0
-8,2,1410,2370,960,1,999,1,1,2.00,0.00,-8.00,0.00,-2.00,0.00,4,585,5,475,0,0,0,0
0,0,1231,1875,644,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,0,0,0,0,0,0,0,0
3,0,615,1335,720,0,999,0,2,5.00,0.00,0.00,0.00,-1.33,-0.67,0,644,0,0,0,0,0,0
3,0,720,1080,360,0,825,0,3,5.00,0.00,0.00,0.00,-1.00,-1.33,3,720,0,644,0,0,0,0
1,0,1410,2070,660,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,3,360,3,720,0,0,0,0
-1,0,285,885,600,0,999,0,2,5.00,-3.25,0.00,0.00,-2.00,-0.67,1,660,3,360,0,0,0,0
5,0,450,915,465,0,999,1,1,5.00,-0.50,0.00,0.00,0.00,0.00,-1,600,1,660,0,0,0,0
-1,0,1215,1845,630,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,465,-1,600,0,0,0,0
-8,0,225,1245,1020,0,999,0,3,5.00,-4.25,-4.00,0.00,-3.00,-1.67,-1,630,5,465,0,0,0,0
-7,2,1410,2370,960,1,999,1,1,2.00,0.00,-8.00,0.00,-1.00,0.00,-8,1020,-1,630,0,0,0,0
-1,0,640,1190,550,0,999,0,2,5.00,0.00,0.00,-3.00,-2.00,-0.67,0,0,0,0,0,0,0,0
-10,0,130,1075,945,1,999,0,3,2.00,0.00,-7.00,0.00,-4.00,-1.67,-1,550,0,0,0,0,0,0
-2,0,701,1315,614,0,999,0,4,5.00,0.00,0.00,0.00,-5.00,-2.33,-10,945,-1,550,0,0,0,0
-6,0,340,1060,720,0,999,0,5,5.00,-2.25,0.00,0.00,-5.00,-3.33,-2,614,-10,945,0,0,0,0
4,0,429,1135,706,0,999,1,1,5.00,-0.75,0.00,0.00,0.00,0.00,-6,720,-2,614,0,0,0,0
3,0,415,1015,600,0,720,0,2,5.00,-1.00,0.00,0.00,0.00,-0.67,4,706,-6,720,0,0,0,0
-3,0,175,1000,825,0,999,0,3,5.00,-6.00,-0.88,0.00,0.00,-1.33,3,600,4,706,0,0,0,0
-4,0,160,670,510,1,600,0,4,2.00,0.00,0.00,-2.00,-2.00,-2.33,-3,825,3,600,0,0,0,0
4,0,819,1195,376,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-4,510,-3,825,0,0,0,0
3,0,805,1390,585,0,999,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,4,376,-4,510,0,0,0,0
5,0,910,1510,600,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,3,585,4,376,0,0,0,0
-5,1,190,1195,1005,0,999,1,1,5.00,-5.75,-4.00,0.00,0.00,0.00,5,600,3,585,0,0,0,0
-2,0,1210,1930,720,1,999,0,2,2.00,0.00,0.00,-3.25,0.00,-1.00,0,0,0,0,0,0,0,0
2,0,595,1210,615,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,-2,720,0,0,0,0,0,0
2,0,764,1164,400,0,994,0,4,5.00,0.00,0.00,0.00,-1.00,-2.33,2,615,-2,720,0,0,0,0
5,0,610,1225,615,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,2,400,2,615,0,0,0,0
-1,0,1330,2005,675,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,615,2,400,0,0,0,0
-1,0,665,1525,860,0,999,0,3,5.00,0.00,-1.50,0.00,-3.00,-1.67,-1,675,5,615,0,0,0,0
-6,0,1300,1900,600,1,999,0,4,2.00,0.00,0.00,0.00,-5.00,-2.67,-1,860,-1,675,0,0,0,0
1,0,429,1135,706,0,999,1,1,5.00,-0.75,0.00,0.00,-3.00,0.00,-6,600,-1,860,0,0,0,0
0,0,415,1030,615,0,720,0,2,5.00,-1.00,0.00,0.00,-3.00,-0.67,1,706,-6,600,0,0,0,0
-5,0,175,1000,825,0,999,0,3,5.00,-5.00,-0.88,0.00,-3.00,-1.33,0,615,1,706,0,0,0,0
-7,0,160,670,510,1,600,0,4,2.00,0.00,0.00,-2.00,-5.00,-2.33,-5,825,0,615,0,0,0,0
4,0,1075,1465,390,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-7,510,-5,825,0,0,0,0
3,0,820,1510,690,0,795,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,4,390,-7,510,0,0,0,0
1,0,100,655,555,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,3,690,4,390,0,0,0,0
-7,1,190,1195,1005,0,999,1,1,5.00,-4.75,-4.00,0.00,-3.00,0.00,1,555,3,690,0,0,0,0
-6,0,270,1080,810,0,999,0,4,5.00,-3.50,-0.75,0.00,-4.00,-2.33,0,0,0,0,0,0,0,0
-4,0,361,661,300,0,721,0,5,5.00,-2.00,0.00,0.00,-4.00,-3.00,-6,810,0,0,0,0,0,0
1,0,945,1660,715,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,-4,300,-6,810,0,0,0,0
2,0,840,1365,525,0,620,0,2,5.00,0.00,0.00,-0.75,-2.00,-0.67,1,715,-4,300,0,0,0,0
-3,0,195,720,525,0,999,0,3,5.00,-4.75,0.00,0.00,-2.00,-1.33,2,525,1,715,0,0,0,0
-4,0,1130,1650,520,1,999,0,4,2.00,0.00,0.00,0.00,-4.00,-2.33,-3,525,2,525,0,0,0,0
-5,0,1170,1775,605,1,960,0,5,2.00,0.00,0.00,0.00,-4.00,-3.33,-4,520,-3,525,0,0,0,0
-5,0,465,1200,735,0,999,0,6,5.00,-0.25,-0.12,0.00,-5.00,-4.33,-5,605,-4,520,0,0,0,0
-5,0,760,1275,515,0,999,0,7,5.00,0.00,0.00,0.00,-5.00,-5.33,-5,735,-5,605,0,0,0,0
-9,0,420,1245,825,0,999,0,8,5.00,-1.00,-0.88,0.00,-5.00,-6.67,-5,515,-5,735,0,0,0,0
-10,0,360,1050,690,0,555,0,9,5.00,-2.00,0.00,-1.75,-5.00,-8.00,-9,825,-5,515,0,0,0,0
-10,0,960,1715,755,1,999,0,10,2.00,0.00,-0.50,0.00,-7.00,-10.00,-10,690,-9,825,0,0,0,0
-10,0,990,1740,750,1,715,0,11,2.00,0.00,-0.50,0.00,-7.00,-12.00,-10,755,-10,690,0,0,0,0
-10,1,405,1200,795,0,999,0,12,5.00,-1.25,-0.62,0.00,-8.00,-13.33,-10,750,-10,755,0,0,0,0
5,0,570,1225,655,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
-1,0,1005,1660,655,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,655,0,0,0,0,0,0
4,0,470,1235,765,0,999,1,1,5.00,-0.25,-0.38,0.00,-0.50,0.00,-1,655,5,655,0,0,0,0
1,0,395,990,595,0,600,0,2,5.00,-1.50,0.00,-1.00,-0.50,-0.67,4,765,-1,655,0,0,0,0
3,0,960,1475,515,0,999,0,3,5.00,0.00,0.00,0.00,-0.50,-1.33,1,595,4,765,0,0,0,0
3,0,840,1390,550,0,805,0,4,5.00,0.00,0.00,0.00,-0.50,-2.00,3,515,1,595,0,0,0,0
-5,0,285,1205,920,0,999,0,5,5.00,-3.75,-2.50,0.00,-0.50,-3.00,3,550,3,515,0,0,0,0
-5,0,345,1225,880,0,580,0,6,5.00,-2.75,-1.75,-1.25,-0.50,-4.00,-5,920,3,550,0,0,0,0
3,1,405,1200,795,0,999,1,1,5.00,-1.25,-0.62,0.00,0.00,0.00,-5,880,-5,920,0,0,0,0
0,0,165,825,660,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,0,0,0,0,0,0,0,0
3,0,525,1155,630,0,999,0,2,5.00,0.00,0.00,0.00,-1.33,-0.67,0,660,0,0,0,0,0,0
-10,0,1155,2115,960,1,999,0,3,2.00,0.00,-8.00,0.00,-3.00,-1.67,3,630,0,660,0,0,0,0
1,0,1365,2130,765,1,999,1,1,2.00,0.00,-0.75,0.00,-0.00,0.00,-10,960,3,630,0,0,0,0
2,0,375,765,390,0,999,0,2,5.00,-1.75,0.00,0.00,-1.00,-0.67,1,765,-10,960,0,0,0,0
-3,0,1215,1980,765,1,999,0,3,2.00,0.00,-0.75,0.00,-3.00,-1.67,2,390,1,765,0,0,0,0
-3,0,435,1230,795,0,999,0,4,5.00,-0.75,-0.62,0.00,-4.00,-2.33,-3,765,2,390,0,0,0,0
-2,0,960,1545,585,0,999,0,5,5.00,0.00,0.00,0.00,-4.00,-3.00,-3,795,-3,765,0,0,0,0
-5,0,345,1005,660,0,999,0,6,5.00,-2.25,0.00,0.00,-4.00,-4.00,-2,585,-3,795,0,0,0,0
-9,2,225,1020,795,0,660,0,7,5.00,-4.25,-0.62,0.00,-4.00,-5.33,-5,660,-2,585,0,0,0,0
-1,0,1245,2085,840,1,999,1,1,2.00,0.00,-2.00,0.00,-1.00,0.00,0,0,0,0,0,0,0,0
-1,0,1305,2100,795,1,999,0,2,2.00,0.00,-1.25,0.00,-1.00,-1.00,-1,840,0,0,0,0,0,0
1,0,735,1455,720,0,999,0,3,5.00,0.00,0.00,0.00,-2.00,-1.67,-1,795,-1,840,0,0,0,0
-8,0,1155,2040,885,1,999,0,4,2.00,0.00,-3.50,0.00,-4.00,-2.67,1,720,-1,795,0,0,0,0
-7,0,1065,1845,780,1,999,0,5,2.00,0.00,-1.00,0.00,-4.00,-4.17,-8,885,1,720,0,0,0,0
-6,0,165,1095,930,1,999,1,1,2.00,0.00,-8.00,0.00,0.00,0.00,-7,780,-8,885,0,0,0,0
-6,0,1365,2130,765,1,270,0,1,2.00,0.00,-8.00,0.00,0.00,0.00,-6,930,-7,780,0,0,0,0
2,0,375,765,390,0,999,0,2,5.00,-1.75,0.00,0.00,-1.00,-0.67,-6,765,-6,930,0,0,0,0
-3,0,1215,1980,765,1,999,0,3,2.00,0.00,-0.75,0.00,-3.00,-1.67,2,390,-6,765,0,0,0,0
2,0,345,1005,660,0,999,1,1,5.00,-2.25,0.00,0.00,-1.00,0.00,-3,765,2,390,0,0,0,0
-2,2,225,1020,795,0,660,0,2,5.00,-4.25,-0.62,0.00,-1.00,-0.67,2,660,-3,765,0,0,0,0
-2,0,65,845,780,1,999,0,2,2.00,0.00,-1.00,-1.50,0.00,-1.00,0,0,0,0,0,0,0,0
0,0,375,1130,755,0,970,0,3,5.00,-1.75,-0.25,0.00,-1.00,-1.67,-2,780,0,0,0,0,0,0
-4,0,875,1640,765,1,999,0,4,2.00,0.00,-0.75,0.00,-3.00,-2.67,0,755,-2,780,0,0,0,0
-3,0,450,1200,750,0,999,0,5,5.00,-0.50,-0.25,0.00,-4.00,-3.67,-4,765,0,755,0,0,0,0
-7,0,305,1070,765,0,999,0,6,5.00,-3.00,-0.38,0.00,-4.00,-4.67,-3,750,-4,765,0,0,0,0
-6,0,755,1545,790,0,999,0,7,5.00,0.00,-0.62,0.00,-4.00,-6.00,-7,765,-3,750,0,0,0,0
-10,0,230,1045,815,0,999,0,8,5.00,-4.25,-0.88,0.00,-4.00,-7.33,-6,790,-7,765,0,0,0,0
-10,0,290,1055,765,0,685,0,9,5.00,-3.25,-0.38,0.00,-4.00,-8.67,-10,815,-6,790,0,0,0,0
-10,0,235,980,745,0,620,0,10,5.00,-4.00,-0.12,-0.50,-4.00,-10.00,-10,765,-10,815,0,0,0,0
-10,0,170,950,780,1,999,0,11,2.00,0.00,-1.00,0.00,-6.00,-12.00,-10,745,-10,765,0,0,0,0
-10,0,260,1040,780,0,750,0,12,5.00,-3.75,-0.50,0.00,-7.00,-13.33,-10,780,-10,745,0,0,0,0
-10,0,365,1110,745,0,765,0,13,5.00,-2.00,-0.25,0.00,-7.00,-14.67,-10,780,-10,780,0,0,0,0
-10,0,410,1175,765,0,740,0,14,5.00,-1.25,-0.38,0.00,-7.00,-16.00,-10,745,-10,780,0,0,0,0
-10,0,605,1360,755,0,870,0,15,5.00,0.00,-0.38,0.00,-7.00,-17.33,-10,765,-10,745,0,0,0,0
5,0,800,1420,620,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,-10,755,-10,765,0,0,0,0
-2,0,815,1580,765,1,835,0,2,2.00,0.00,-0.75,0.00,-2.00,-1.00,5,620,-10,755,0,0,0,0
-4,0,260,1040,780,0,999,0,3,5.00,-3.75,-0.50,0.00,-3.00,-1.67,-2,765,5,620,0,0,0,0
-7,0,200,1040,840,0,600,0,4,5.00,-4.75,-1.00,-1.00,-3.00,-2.33,-4,780,-2,765,0,0,0,0
-6,0,215,815,600,0,615,0,5,5.00,-4.50,0.00,-0.75,-3.00,-3.00,-7,840,-4,780,0,0,0,0
-6,1,290,1070,780,0,915,0,6,5.00,-3.25,-0.50,0.00,-3.00,-4.00,-6,600,-7,840,0,0,0,0
0,0,486,1235,749,0,999,0,6,5.00,0.00,-0.25,0.00,-1.00,-3.67,0,0,0,0,0,0,0,0
-2,0,425,1054,629,0,630,0,7,5.00,-1.00,0.00,-0.50,-1.00,-4.67,0,749,0,0,0,0,0,0
-2,0,605,1335,730,0,991,0,8,5.00,0.00,-0.12,0.00,-1.00,-6.00,-2,629,0,749,0,0,0,0
-10,0,905,1650,745,1,999,0,9,2.00,0.00,-0.50,0.00,-3.00,-8.00,-2,730,-2,629,0,0,0,0
-9,0,805,1560,755,0,999,0,10,5.00,0.00,-0.25,0.00,-4.00,-9.33,-10,745,-2,730,0,0,0,0
-10,0,1130,1650,520,1,999,0,11,2.00,0.00,0.00,0.00,-6.00,-11.33,-9,755,-10,745,0,0,0,0
-10,0,955,1475,520,0,745,0,12,5.00,0.00,0.00,0.00,-7.00,-12.67,-10,520,-9,755,0,0,0,0
1,0,275,975,700,0,999,1,1,5.00,-4.50,0.00,0.00,0.00,0.00,-10,520,-10,520,0,0,0,0
4,0,450,930,480,0,915,0,2,5.00,-0.50,0.00,0.00,0.00,-0.67,1,700,-10,520,0,0,0,0
4,0,685,1195,510,0,999,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,480,1,700,0,0,0,0
-2,0,1325,1815,490,1,999,0,4,2.00,0.00,0.00,0.00,-2.00,-2.33,4,510,4,480,0,0,0,0
-4,0,1335,2090,755,1,960,0,5,2.00,0.00,-0.50,0.00,-2.00,-3.83,-2,490,4,510,0,0,0,0
1,0,875,1655,780,1,999,1,1,2.00,0.00,-1.00,0.00,0.00,0.00,-4,755,-2,490,0,0,0,0
2,0,980,1400,420,0,999,1,1,5.00,0.00,0.00,0.00,-3.00,0.00,1,780,-4,755,0,0,0,0
5,0,875,1385,510,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,2,420,1,780,0,0,0,0
0,1,290,1070,780,0,999,0,2,5.00,-4.25,-0.50,0.00,0.00,-0.67,5,510,2,420,0,0,0,0
5,0,615,1105,490,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
4,0,615,1345,730,0,950,0,2,5.00,0.00,-0.12,0.00,0.00,-0.67,5,490,0,0,0,0,0,0
4,0,615,1230,615,0,710,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,730,5,490,0,0,0,0
2,0,615,1477,862,0,825,0,4,5.00,0.00,-1.25,0.00,0.00,-2.00,4,615,4,730,0,0,0,0
1,0,615,1045,430,0,578,0,5,5.00,0.00,0.00,-1.25,0.00,-2.67,2,862,4,615,0,0,0,0
5,0,615,1170,555,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,1,430,2,862,0,0,0,0
5,0,615,1175,560,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,5,555,1,430,0,0,0,0
4,0,615,990,375,0,880,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,560,5,555,0,0,0,0
4,0,615,940,325,0,999,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,375,5,560,0,0,0,0
-5,0,95,705,610,1,595,0,4,2.00,0.00,0.00,-2.25,-2.00,-2.33,4,325,4,375,0,0,0,0
-4,0,1395,2100,705,1,690,0,5,2.00,0.00,0.00,-0.50,-2.00,-3.83,-5,610,4,325,0,0,0,0
1,0,845,1615,770,1,999,1,1,2.00,0.00,-1.00,0.00,0.00,0.00,-4,705,-5,610,0,0,0,0
3,0,960,1500,540,0,785,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,1,770,-4,705,0,0,0,0
5,0,1072,1515,443,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,3,540,1,770,0,0,0,0
2,0,570,1110,540,0,495,0,2,5.00,0.00,0.00,-2.75,0.00,-0.67,5,443,3,540,0,0,0,0
-3,0,155,960,805,1,999,0,3,2.00,0.00,-1.50,0.00,-2.00,-1.67,2,540,5,443,0,0,0,0
-10,0,0,1005,1005,1,480,0,4,2.00,0.00,-8.00,-4.00,-2.00,-2.67,-3,805,2,540,0,0,0,0
2,2,540,915,375,0,999,1,1,5.00,0.00,0.00,0.00,-3.00,0.00,-10,1005,-3,805,0,0,0,0
-8,0,1185,1705,520,1,999,0,6,2.00,0.00,0.00,0.00,-5.00,-4.83,0,0,0,0,0,0,0,0
2,0,1395,2005,610,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-8,520,0,0,0,0,0,0
-1,0,1171,1740,569,1,606,0,2,2.00,0.00,0.00,-2.00,0.00,-1.00,2,610,-8,520,0,0,0,0
0,0,14,415,401,1,999,0,3,2.00,0.00,0.00,0.00,0.00,-2.00,-1,569,2,610,0,0,0,0
-1,0,1125,1715,590,1,710,0,4,2.00,0.00,0.00,-0.25,0.00,-3.00,0,401,-1,569,0,0,0,0
-1,0,1370,2155,785,1,999,1,1,2.00,0.00,-1.25,0.00,-2.00,0.00,-1,590,0,401,0,0,0,0
-2,0,1365,2005,640,1,650,0,2,2.00,0.00,0.00,-1.25,-1.33,-1.00,-1,785,-1,590,0,0,0,0
-3,0,1140,1710,570,1,575,0,3,2.00,0.00,0.00,-2.50,-0.67,-2.00,-2,640,-1,785,0,0,0,0
-1,0,1260,1900,640,1,990,0,4,2.00,0.00,0.00,0.00,-0.00,-3.00,-3,570,-2,640,0,0,0,0
1,0,1200,2000,800,1,999,1,1,2.00,0.00,-1.25,0.00,0.00,0.00,-1,640,-3,570,0,0,0,0
-3,0,1105,1920,815,1,545,0,2,2.00,0.00,-1.50,-2.75,0.00,-1.00,1,800,-1,640,0,0,0,0
2,2,540,915,375,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,-3,815,1,800,0,0,0,0
0,0,1040,1660,620,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,0,0,0,0,0,0,0,0
-1,0,1250,2030,780,1,999,0,2,2.00,0.00,-1.00,0.00,-1.33,-1.00,0,620,0,0,0,0,0,0
4,0,830,1245,415,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-1,780,0,620,0,0,0,0
3,0,590,1070,480,0,785,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,4,415,-1,780,0,0,0,0
5,0,545,1200,655,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,3,480,4,415,0,0,0,0
-1,0,205,755,550,0,999,0,2,5.00,-5.50,0.00,0.00,0.00,-0.67,5,655,3,480,0,0,0,0
-2,1,410,1375,965,0,999,0,3,5.00,-1.25,-4.00,0.00,0.00,-1.33,-1,550,5,655,0,0,0,0
4,0,800,1275,475,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,0,0,0,0,0,0,0,0
3,0,710,1065,355,0,875,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,4,475,0,0,0,0,0,0
3,0,620,1250,630,0,995,0,3,5.00,0.00,0.00,0.00,-1.00,-1.33,3,355,4,475,0,0,0,0
-4,0,1250,2015,765,1,999,1,4,2.00,0.00,-0.75,0.00,-3.00,-2.33,3,630,3,355,0,0,0,0
2,0,50,565,515,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-4,765,3,630,0,0,0,0
-1,0,1160,1735,575,1,595,0,2,2.00,0.00,0.00,-2.25,0.00,-1.00,2,515,-4,765,0,0,0,0
4,0,620,1295,675,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-1,575,2,515,0,0,0,0
3,0,610,895,285,0,755,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,4,675,-1,575,0,0,0,0
3,0,895,1220,325,0,0,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,3,285,4,675,0,0,0,0
3,0,515,770,255,0,735,1,3,5.00,0.00,0.00,0.00,-1.00,-1.33,3,325,3,285,0,0,0,0
4,0,440,815,375,0,999,1,1,5.00,-0.75,0.00,0.00,0.00,0.00,3,255,3,325,0,0,0,0
-1,0,140,410,270,1,765,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,4,375,3,255,0,0,0,0
2,0,1130,1710,580,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,270,4,375,0,0,0,0
1,0,1130,1870,740,1,860,0,2,2.00,0.00,-0.50,0.00,0.00,-1.00,2,580,-1,270,0,0,0,0
-3,0,205,755,550,0,999,1,1,5.00,-4.50,0.00,0.00,-3.00,0.00,1,740,2,580,0,0,0,0
-4,1,410,1375,965,0,999,0,2,5.00,-1.25,-4.00,0.00,-3.00,-0.67,-3,550,1,740,0,0,0,0
-2,0,710,1230,520,0,999,0,5,5.00,0.00,0.00,0.00,-4.00,-3.33,0,0,0,0,0,0,0,0
-9,0,1025,1580,555,1,999,0,6,2.00,0.00,0.00,0.00,-6.00,-4.83,-2,520,0,0,0,0,0,0
2,0,1315,1940,625,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-9,555,-2,520,0,0,0,0
0,0,220,964,744,0,999,1,1,5.00,-4.75,-0.12,0.00,-0.50,0.00,2,625,-9,555,0,0,0,0
4,0,640,1360,720,0,999,0,2,5.00,0.00,0.00,0.00,-0.50,-0.67,0,744,2,625,0,0,0,0
5,0,740,1375,635,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,4,720,0,744,0,0,0,0
-1,0,110,625,515,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,635,4,720,0,0,0,0
2,0,20,720,700,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,515,5,635,0,0,0,0
1,0,65,605,540,1,785,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,700,-1,515,0,0,0,0
2,2,170,815,645,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,1,540,2,700,0,0,0,0
5,0,620,1085,465,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
4,0,935,1355,420,0,999,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,465,0,0,0,0,0,0
0,0,35,800,765,1,999,1,1,2.00,0.00,-0.75,0.00,-1.00,0.00,4,420,5,465,0,0,0,0
2,0,530,1140,610,0,999,0,2,5.00,0.00,0.00,0.00,-2.00,-0.67,0,765,4,420,0,0,0,0
2,0,1005,1250,245,0,999,0,3,5.00,0.00,0.00,0.00,-2.00,-1.33,2,610,0,765,0,0,0,0
5,0,605,1375,770,0,999,1,1,5.00,0.00,-0.50,0.00,0.00,0.00,2,245,2,610,0,0,0,0
4,0,920,1545,625,0,985,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,770,2,245,0,0,0,0
0,2,170,815,645,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,4,625,5,770,0,0,0,0
2,0,525,1005,480,0,999,0,6,5.00,0.00,0.00,0.00,0.00,-3.33,0,0,0,0,0,0,0,0
5,0,525,1205,680,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,2,480,0,0,0,0,0,0
4,0,525,1115,590,0,760,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,680,2,480,0,0,0,0
4,0,525,1075,550,0,850,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,590,5,680,0,0,0,0
