FIRM,class,Start,End,Length,Night,Gap,WS,idx,Base,StartAdj,LenAdj,Comp,Trans,Press,p1s,p1l,p2s,p2l,MalAdj,NFZ,AFZ,MFZ
-9,0,1405,1990,585,1,840,0,9,2.00,0.00,0.00,0.00,-2.00,-8.83,-10,870,-5,410,0,0,0,0
-5,0,1275,1690,415,1,999,0,3,2.00,0.00,0.00,-2.50,-2.00,-2.00,0,0,0,0,0,0,0,0
-1,0,1045,1405,360,0,795,0,4,5.00,0.00,0.00,0.00,-3.00,-2.67,-5,415,0,0,0,0,0,0
-1,0,882,1155,273,0,917,0,5,5.00,0.00,0.00,0.00,-3.00,-3.33,-1,360,-5,415,0,0,0,0
-3,0,415,1060,645,0,700,0,6,5.00,-1.00,0.00,0.00,-3.00,-4.33,-1,273,-1,360,0,0,0,0
5,0,730,1315,585,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,-3,645,-1,273,0,0,0,0
-1,0,1060,1720,660,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,585,-3,645,0,0,0,0
2,0,1425,1930,505,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,660,5,585,0,0,0,0
1,0,1291,1570,279,1,801,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,505,-1,660,0,0,0,0
2,0,1045,1630,585,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,1,279,2,505,0,0,0,0
3,0,940,1465,525,0,750,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,2,585,1,279,0,0,0,0
1,0,270,730,460,0,999,1,1,5.00,-4.50,0.00,0.00,0.00,0.00,3,525,2,585,0,0,0,0
3,0,380,800,420,0,999,0,2,5.00,-1.75,0.00,0.00,0.00,-0.67,1,460,3,525,0,0,0,0
4,0,435,790,355,0,999,1,1,5.00,-0.75,0.00,0.00,0.00,0.00,3,420,1,460,0,0,0,0
-3,0,1390,1735,345,1,600,0,2,2.00,0.00,0.00,-2.00,-2.00,-1.00,4,355,3,420,0,0,0,0
-2,0,1421,1930,509,1,999,0,3,2.00,0.00,0.00,0.00,-2.00,-2.00,-3,345,4,355,0,0,0,0
-3,0,1345,1810,465,1,855,0,4,2.00,0.00,0.00,0.00,-2.00,-3.00,-2,509,-3,345,0,0,0,0
-4,0,1280,1690,410,1,910,0,5,2.00,0.00,0.00,0.00,-2.00,-4.00,-3,465,-2,509,0,0,0,0
-9,2,1135,2020,885,1,885,0,6,2.00,0.00,-3.50,0.00,-2.00,-5.50,-4,410,-3,465,0,0,0,0
1,0,1065,1515,450,0,999,0,6,5.00,0.00,0.00,0.00,0.00,-3.67,0,0,0,0,0,0,0,0
5,0,915,1395,480,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,1,450,0,0,0,0,0,0
4,0,625,975,350,0,670,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,480,1,450,0,0,0,0
4,0,665,1335,670,0,999,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,350,5,480,0,0,0,0
-10,1,870,2070,1200,1,975,0,4,2.00,0.00,-8.00,0.00,-2.00,-2.33,4,670,4,350,0,0,0,0
5,0,595,980,385,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
-1,0,1075,1575,500,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,385,0,0,0,0,0,0
2,0,75,660,585,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,500,5,385,0,0,0,0
1,0,5,630,625,1,785,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,585,-1,500,0,0,0,0
1,0,905,1695,790,1,999,1,1,2.00,0.00,-1.25,0.00,0.00,0.00,1,625,2,585,0,0,0,0
1,0,1005,1620,615,1,750,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,1,790,1,625,0,0,0,0
2,0,655,1255,600,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,1,615,1,790,0,0,0,0
-4,0,1265,1695,430,1,999,0,4,2.00,0.00,0.00,0.00,-3.00,-2.67,2,600,1,615,0,0,0,0
2,0,0,480,480,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-4,430,2,600,0,0,0,0
1,0,85,675,590,1,999,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,480,-4,430,0,0,0,0
2,0,451,935,484,0,999,1,1,5.00,-0.50,0.00,0.00,-3.00,0.00,1,590,2,480,0,0,0,0
-5,0,170,840,670,1,675,0,2,2.00,0.00,0.00,-0.75,-5.00,-1.00,2,484,1,590,0,0,0,0
2,0,665,1335,670,0,999,1,1,5.00,0.00,0.00,0.00,-3.00,0.00,-5,670,2,484,0,0,0,0
-10,1,870,2070,1200,1,975,0,2,2.00,0.00,-8.00,0.00,-5.00,-1.00,2,670,-5,670,0,0,0,0
2,0,451,780,329,0,999,0,3,5.00,-0.50,0.00,0.00,-1.00,-1.33,0,0,0,0,0,0,0,0
-3,0,60,555,495,1,720,0,4,2.00,0.00,0.00,0.00,-3.00,-2.33,2,329,0,0,0,0,0,0
4,0,595,975,380,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-3,495,2,329,0,0,0,0
-2,0,1075,1575,500,1,999,0,2,2.00,0.00,0.00,0.00,-3.00,-1.00,4,380,-3,495,0,0,0,0
2,0,75,660,585,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-2,500,4,380,0,0,0,0
1,0,5,665,660,1,785,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,585,-2,500,0,0,0,0
1,0,905,1695,790,1,999,1,1,2.00,0.00,-1.25,0.00,0.00,0.00,1,660,2,585,0,0,0,0
1,0,1005,1620,615,1,750,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,1,790,1,660,0,0,0,0
2,0,655,1255,600,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,1,615,1,790,0,0,0,0
-4,0,1265,1695,430,1,999,0,4,2.00,0.00,0.00,0.00,-3.00,-2.67,2,600,1,615,0,0,0,0
2,0,0,480,480,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-4,430,2,600,0,0,0,0
1,0,85,675,590,1,999,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,480,-4,430,0,0,0,0
2,0,451,935,484,0,999,1,1,5.00,-0.50,0.00,0.00,-3.00,0.00,1,590,2,480,0,0,0,0
-7,0,60,705,645,1,565,0,2,2.00,0.00,0.00,-2.50,-5.00,-1.00,2,484,1,590,0,0,0,0
2,0,665,1335,670,0,999,1,1,5.00,0.00,0.00,0.00,-3.00,0.00,-7,645,2,484,0,0,0,0
-10,1,870,2070,1200,1,975,0,2,2.00,0.00,-8.00,0.00,-5.00,-1.00,2,670,-7,645,0,0,0,0
1,0,1410,2095,685,1,999,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,0,0,0,0,0,0,0,0
4,0,470,995,525,0,999,1,1,5.00,-0.25,0.00,0.00,-1.00,0.00,1,685,0,0,0,0,0,0
3,0,1065,1490,425,0,999,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,4,525,1,685,0,0,0,0
5,0,960,1425,465,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,3,425,4,525,0,0,0,0
4,0,755,1280,525,0,770,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,465,3,425,0,0,0,0
1,0,65,750,685,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,4,525,5,465,0,0,0,0
2,0,470,980,510,0,999,0,2,5.00,-0.25,0.00,0.00,-2.00,-0.67,1,685,4,525,0,0,0,0
5,0,820,1295,475,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,2,510,1,685,0,0,0,0
-2,1,865,1670,805,1,999,0,2,2.00,0.00,-1.25,0.00,-2.00,-1.00,5,475,2,510,0,0,0,0
-3,0,210,675,465,0,999,1,1,5.00,-4.50,0.00,0.00,-3.00,0.00,0,0,0,0,0,0,0,0
1,0,615,1220,605,0,999,0,2,5.00,0.00,0.00,0.00,-3.00,-0.67,-3,465,0,0,0,0,0,0
1,0,1135,1835,700,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,1,605,-3,465,0,0,0,0
0,0,1195,1625,430,1,800,0,2,2.00,0.00,0.00,0.00,-1.00,-1.00,1,700,1,605,0,0,0,0
2,0,1400,1840,440,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,0,430,1,700,0,0,0,0
1,0,1295,1820,525,1,895,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,440,0,430,0,0,0,0
2,0,940,1380,440,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,1,525,2,440,0,0,0,0
-4,0,1220,1730,510,1,999,0,4,2.00,0.00,0.00,0.00,-3.00,-2.67,2,440,1,525,0,0,0,0
-2,0,910,1270,360,0,999,0,5,5.00,0.00,0.00,0.00,-4.00,-3.33,-4,510,2,440,0,0,0,0
-3,0,560,1040,480,0,730,0,6,5.00,0.00,0.00,0.00,-4.00,-4.00,-2,360,-4,510,0,0,0,0
-4,0,965,1360,395,0,999,0,7,5.00,0.00,0.00,0.00,-4.00,-5.00,-3,480,-2,360,0,0,0,0
-10,0,1310,1835,525,1,999,0,8,2.00,0.00,0.00,0.00,-6.00,-6.50,-4,395,-3,480,0,0,0,0
4,0,820,1295,475,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-10,525,-4,395,0,0,0,0
-3,1,865,1670,805,1,999,0,2,2.00,0.00,-1.25,0.00,-3.00,-1.00,4,475,-10,525,0,0,0,0
-2,0,1085,1685,600,1,999,0,2,2.00,0.00,0.00,0.00,-3.00,-1.00,0,0,0,0,0,0,0,0
2,0,960,1680,720,1,999,0,1,2.00,0.00,0.00,0.00,0.00,0.00,-2,600,0,0,0,0,0,0
-7,0,840,1770,930,1,600,0,2,2.00,0.00,-6.00,-2.00,0.00,-1.00,2,720,-2,600,0,0,0,0
2,0,750,1470,720,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,-7,930,2,720,0,0,0,0
-2,2,1140,2010,870,1,999,1,1,2.00,0.00,-3.00,0.00,-1.00,0.00,2,720,-7,930,0,0,0,0
2,0,1200,1920,720,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
1,0,1200,1920,720,1,720,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,720,0,0,0,0,0,0
-2,0,1200,2010,810,1,720,0,3,2.00,0.00,-1.50,0.00,0.00,-2.00,1,720,2,720,0,0,0,0
-2,0,1200,1995,795,1,999,0,4,2.00,0.00,-1.25,0.00,0.00,-3.00,-2,810,1,720,0,0,0,0
-3,0,1335,2070,735,1,780,0,5,2.00,0.00,-0.25,0.00,0.00,-4.50,-2,795,-2,810,0,0,0,0
-4,0,1200,1785,585,1,999,0,6,2.00,0.00,0.00,0.00,0.00,-6.00,-3,735,-2,795,0,0,0,0
-6,0,1200,1740,540,1,855,0,7,2.00,0.00,0.00,0.00,0.00,-7.50,-4,585,-3,735,0,0,0,0
-8,0,1200,1745,545,1,900,0,8,2.00,0.00,0.00,0.00,0.00,-9.50,-6,540,-4,585,0,0,0,0
-10,0,1200,1680,480,1,895,0,9,2.00,0.00,0.00,0.00,0.00,-11.50,-8,545,-6,540,0,0,0,0
-10,0,1200,1860,660,1,960,0,10,2.00,0.00,0.00,0.00,0.00,-13.50,-10,480,-8,545,0,0,0,0
-10,0,1200,1825,625,1,780,0,11,2.00,0.00,0.00,0.00,0.00,-15.50,-10,660,-10,480,0,0,0,0
2,0,1200,1817,617,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-10,625,-10,660,0,0,0,0
1,0,1200,1920,720,1,823,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,617,-10,625,0,0,0,0
0,0,1200,1920,720,1,720,0,3,2.00,0.00,0.00,0.00,0.00,-2.00,1,720,2,617,0,0,0,0
-8,0,1200,2140,940,1,720,0,4,2.00,0.00,-7.00,0.00,0.00,-3.00,0,720,1,720,0,0,0,0
4,0,1200,1560,360,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-8,940,0,720,0,0,0,0
-2,0,1200,1810,610,1,999,0,2,2.00,0.00,0.00,0.00,-3.00,-1.00,4,360,-8,940,0,0,0,0
-3,0,1200,1725,525,1,830,0,3,2.00,0.00,0.00,0.00,-3.00,-2.00,-2,610,4,360,0,0,0,0
-7,1,1200,2070,870,1,915,0,4,2.00,0.00,-3.00,0.00,-3.00,-3.00,-3,525,-2,610,0,0,0,0
-6,0,1320,1920,600,1,690,0,5,2.00,0.00,0.00,-0.50,-3.00,-4.00,-7,870,-3,525,0,0,0,0
-10,0,180,1125,945,0,999,0,5,5.00,-5.00,-3.50,0.00,-3.00,-4.00,0,0,0,0,0,0,0,0
-6,0,330,1050,720,0,645,0,6,5.00,-2.50,0.00,-0.25,-3.00,-5.00,-10,945,0,0,0,0,0,0
-10,0,211,825,614,0,601,0,7,5.00,-4.50,0.00,-1.00,-3.00,-6.00,-6,720,-10,945,0,0,0,0
-10,0,45,900,855,1,660,0,8,2.00,0.00,-2.50,-1.00,-5.00,-8.00,-10,614,-6,720,0,0,0,0
4,0,1110,1475,365,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,-10,855,-10,614,0,0,0,0
0,0,515,1275,760,0,480,0,2,5.00,0.00,-0.38,-3.00,-1.00,-0.67,4,365,-10,855,0,0,0,0
-5,0,240,1290,1050,0,999,0,3,5.00,-4.00,-4.00,0.00,-1.00,-1.33,0,760,4,365,0,0,0,0
3,0,405,1170,765,0,999,1,1,5.00,-1.25,-0.38,0.00,0.00,0.00,-5,1050,0,760,0,0,0,0
3,0,420,885,465,0,690,0,2,5.00,-1.00,0.00,0.00,0.00,-0.67,3,765,-5,1050,0,0,0,0
-7,0,690,1650,960,1,999,1,1,2.00,0.00,-8.00,0.00,-1.00,0.00,3,465,3,765,0,0,0,0
2,0,790,1395,605,0,999,0,2,5.00,0.00,0.00,0.00,-2.00,-0.67,-7,960,3,465,0,0,0,0
1,0,1200,1810,610,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,2,605,-7,960,0,0,0,0
0,0,1200,1715,515,1,830,0,2,2.00,0.00,0.00,0.00,-1.00,-1.00,1,610,2,605,0,0,0,0
-4,1,1200,2070,870,1,925,0,3,2.00,0.00,-3.00,0.00,-1.00,-2.00,0,515,1,610,0,0,0,0
4,0,630,1355,725,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,0,0,0,0,0,0,0,0
5,0,750,1345,595,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,4,725,0,0,0,0,0,0
5,0,570,1045,475,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,5,595,4,725,0,0,0,0
5,0,750,1330,580,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,5,475,5,595,0,0,0,0
5,0,820,1450,630,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,5,580,5,475,0,0,0,0
0,0,1420,1735,315,1,999,1,1,2.00,0.00,0.00,0.00,-2.00,0.00,5,630,5,580,0,0,0,0
2,1,1350,2050,700,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,0,315,5,630,0,0,0,0
0,0,1345,2190,845,1,999,1,1,2.00,0.00,-2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
